Casper WY,Idaho Falls ID,367
Casper WY,Ogden UT,402
Casper WY,Salt Lake City UT,407
Casper WY,Scottsbluff NE,176
Casper WY,Rapid City SD,254
Casper WY,Billings MT,275
Cedar Rapids IA,Sioux Falls SD,350
Cedar Rapids IA,Rochester MN,169
Cedar Rapids IA,Madison WI,164
Cedar Rapids IA,Chicago IL,246
Cedar Rapids IA,Springfield  IL,254
Cedar Rapids IA,Jefferson City MO,270
Cedar Rapids IA,Kansas City MO,320
Cedar Rapids IA,Des Moines IA,121
Charleston SC,Raleigh NC,280
Charleston SC,Greensboro NC,280
Charleston SC,Charlotte NC,209
Charleston SC,Columbia SC,116
Charleston SC,Myrtle Beach SC,96
Charleston SC,Atlanta GA,299
Charleston SC,Columbus GA,350
Charleston SC,Savannah GA,108
Charleston WV,Pittsburgh PA,228
Charleston WV,Harrisburg PA,365
Charleston WV,Washington DC,340
Charleston WV,Richmond VA,316
Charleston WV,Roanoke VA,180
Charleston WV,Greensboro NC,244
Charleston WV,Charlotte NC,264
Charleston WV,Knoxville TN,305
Charleston WV,Frankfort KY,197
Charleston WV,Cincinnati OH,197
Charleston WV,Columbus OH,163
Charlotte NC,Roanoke VA,185
Charlotte NC,Greensboro NC,92
Charlotte NC,Raleigh NC,160
Charlotte NC,Myrtle Beach SC,176
Charlotte NC,Columbia SC,93
Charlotte NC,Charleston SC,209
Charlotte NC,Atlanta GA,245
Charlotte NC,Knoxville TN,231
Charlotte NC,Frankfort KY,425
Charlotte NC,Charleston WV,264
Cheyenne WY,Casper WY,178
Cheyenne WY,Salt Lake City UT,439
Cheyenne WY,Ogden UT,434
Cheyenne WY,Denver CO,100
Cheyenne WY,Scottsbluff NE,99
Chicago IL,Madison WI,147
Chicago IL,Milwaukee WI,92
Chicago IL,Lansing MI,217
Chicago IL,Indianapolis IN,182
Chicago IL,Springfield  IL,203
Chicago IL,Cedar Rapids IA,246
Cincinnati OH,Columbus OH,107
Cincinnati OH,Charleston WV,197
Cincinnati OH,Frankfort KY,86
Cincinnati OH,Louisville KY,106
Cincinnati OH,Indianapolis IN,112
Cincinnati OH,Lansing MI,320
Cincinnati OH,Detroit MI,263
Coeur d'Alene ID,Boise ID,458
Coeur d'Alene ID,Idaho Falls ID,477
Coeur d'Alene ID,Spokane WA,34
Coeur d'Alene ID,Helena MT,277
Coeur d'Alene ID,Missoula MT,165
Colorado Springs CO,Denver CO,71
Colorado Springs CO,Santa Fe NM,322
Colorado Springs CO,Wichita KS,490
Colorado Springs CO,Manhattan KS,465
Columbia SC,Raleigh NC,210
Columbia SC,Greensboro NC,185
Columbia SC,Charlotte NC,93
Columbia SC,Myrtle Beach SC,140
Columbia SC,Charleston SC,116
Columbia SC,Atlanta GA,215
Columbia SC,Savannah GA,155
Columbia SC,Columbus GA,295
Columbia SC,Knoxville TN,263
Columbus GA,Columbia SC,295
Columbus GA,Myrtle Beach SC,465
Columbus GA,Charleston SC,350
Columbus GA,Atlanta GA,107
Columbus GA,Savannah GA,250
Columbus GA,Jacksonville FL,290
